number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_factor,params_kernel_size,params_l1_lambda,params_lr,params_num_channels,params_patience,params_seq_len,params_wd,state
65,inf,2026-02-12 10:49:30.792030,2026-02-12 10:49:30.822456,0 days 00:00:00.030426,16,0.16942607325682082,0.42124686223618385,2,0.00025521721746166415,0.03353497629021079,"[64, 64, 64]",10,12,1.0456558796555568e-06,COMPLETE
66,inf,2026-02-12 10:49:31.041720,2026-02-12 10:49:31.388122,0 days 00:00:00.346402,64,0.3651207689460863,0.4535505599010468,5,0.003999433453058444,0.008690976232273582,"[256, 256, 256]",5,24,1.6865803271152758e-05,COMPLETE
67,inf,2026-02-12 10:49:31.390117,2026-02-12 10:49:31.424851,0 days 00:00:00.034734,64,0.2831931215254896,0.4315285706081654,3,0.00450560254871937,0.012287049870005475,"[128, 128, 128]",5,18,4.433250938126818e-06,COMPLETE
68,inf,2026-02-12 10:49:31.659103,2026-02-12 10:49:31.726225,0 days 00:00:00.067122,32,0.17282012120239665,0.4704129339188641,5,1.4740767150089196e-05,0.0071938156433508735,"[64, 64]",5,18,2.1259509587865165e-05,COMPLETE
69,inf,2026-02-12 10:49:31.670880,2026-02-12 10:49:31.714259,0 days 00:00:00.043379,64,0.3668270126083627,0.20360070658197882,5,0.0011537540831898147,0.0006530864338742788,"[256, 256, 256]",10,18,5.739899160763561e-05,COMPLETE
70,inf,2026-02-12 10:49:31.971156,2026-02-12 10:49:32.284410,0 days 00:00:00.313254,16,0.2666077188625706,0.48895855266069443,5,7.352180929171428e-05,0.012709536356800697,"[64, 64]",10,24,4.04391917720199e-06,COMPLETE
71,inf,2026-02-12 10:49:32.575696,2026-02-12 10:49:32.604616,0 days 00:00:00.028920,32,0.2055593727314204,0.39942342827771254,4,0.005823599115542081,0.04024786877417832,[128],5,18,5.088115796584497e-06,COMPLETE
72,inf,2026-02-12 10:49:32.866714,2026-02-12 10:49:33.121091,0 days 00:00:00.254377,32,0.3328982015595443,0.3897459728680709,4,0.004863300718107964,0.004397285071586478,"[128, 128]",5,18,5.895925747957206e-06,COMPLETE
73,inf,2026-02-12 10:49:33.123087,2026-02-12 10:49:33.387163,0 days 00:00:00.264076,64,0.2263744139567966,0.4956362301501364,5,1.6624372131154263e-05,0.010793143479353283,"[128, 128, 128]",5,24,1.256697255365413e-06,COMPLETE
74,inf,2026-02-12 10:49:33.143246,2026-02-12 10:49:33.428124,0 days 00:00:00.284878,16,0.1596665232847687,0.41574222564287955,5,0.0006833868978834964,0.00896934893664791,"[128, 128, 128]",10,18,5.4154280570753015e-05,COMPLETE
